1,0,-29404.8
1,1,-1450.9
2,0,-2499.6
2,1,2982.0
2,2,1677.0
3,0,1363.2
3,1,-2381.2
3,2,1236.2
3,3,525.7
4,0,903.0
4,1,809.5
4,2,86.3
4,3,-309.4
4,4,48.0
5,0,-234.3
5,1,363.2
5,2,187.8
5,3,-140.7
5,4,-151.2
5,5,13.5
6,0,66.0
6,1,65.5
6,2,72.9
6,3,-121.5
6,4,-36.2
6,5,13.5
6,6,-64.7
7,0,80.6
7,1,-76.7
7,2,-8.2
7,3,56.5
7,4,15.8
7,5,6.4
7,6,-7.2
7,7,9.8
8,0,23.7
8,1,9.7
8,2,-17.6
8,3,-0.5
8,4,-21.1
8,5,15.3
8,6,13.7
8,7,-16.5
8,8,-0.3
9,0,5.0
9,1,8.4
9,2,2.9
9,3,-1.5
9,4,-1.1
9,5,-13.2
9,6,1.1
9,7,8.8
9,8,-9.3
9,9,-11.9
10,0,-1.9
10,1,-6.2
10,2,-0.1
10,3,1.7
10,4,-0.9
10,5,0.7
10,6,-0.9
10,7,1.9
10,8,1.4
10,9,-2.4
10,10,-3.8
11,0,3.0
11,1,-1.4
11,2,-2.5
11,3,2.3
11,4,-0.9
11,5,0.3
11,6,-0.7
11,7,-0.1
11,8,1.4
11,9,-0.6
11,10,0.2
11,11,3.1
12,0,-2.0
12,1,-0.1
12,2,0.5
12,3,1.3
12,4,-1.2
12,5,0.7
12,6,0.3
12,7,0.5
12,8,-0.3
12,9,-0.5
12,10,0.1
12,11,-1.1
12,12,-0.3
13,0,0.1
13,1,-0.9
13,2,0.5
13,3,0.7
13,4,-0.3
13,5,0.8
13,6,0.0
13,7,0.8
13,8,0.0
13,9,0.4
13,10,0.1
13,11,0.5
13,12,-0.5
13,13,-0.4
